"","Young","Old"
"C15orf59",3.97064722654973,3.92241400784606
"C15orf5",0.541042604484925,0.593571690401712
"C15orf60",0.13059898311069,0.115815983670079
"C15orf61",7.98802331424335,7.98956455818215
"C15orf62",6.84640211800987,6.74617947155208
"C15orf63",10.847053366677,10.8032377068735
"C16orf11",0.334401209345168,0.327648361613349
"C16orf13",10.7544099183513,10.7019350198823
"C16orf3",1.82025907646752,2.08809479587643
"C16orf42",10.8046129365177,10.7901381869588
"C16orf45",7.80027452351314,7.66706321225462
"C16orf46",6.14011401920376,6.04741600245587
"C16orf48",8.98796934471861,8.91361007428205
"C16orf52",8.54701899406183,8.65434954870658
"C16orf53",11.1225017161023,11.0113009365697
"C16orf54",5.63656087732752,5.67525620395959
"C16orf55",8.67866723159229,8.69776183818515
"C16orf57",10.8890302244661,10.9810309769653
"C16orf58",12.2761352838787,12.1791733619157
"C16orf59",8.31988101804197,8.29580626853112
"C16orf5",8.90190644871605,8.50551516761729
"C16orf61",9.93100605328423,9.95038205955497
"C16orf62",9.55597240390951,9.48184474766134
"C16orf63",10.7928843994162,10.8119033649687
"C16orf68",8.43087004062551,8.47484486175696
"C16orf70",9.74083815342396,9.80264905243317
"C16orf71",3.55397114238019,3.21905773665774
"C16orf72",10.740809097263,10.7347431400152
"C16orf73",0.332455262868926,0.427115778232777
"C16orf74",5.06597935716781,4.86504486793321
"C16orf75",9.74561981707152,9.78606453281974
"C16orf78",0.023898759894324,0.0100936525368358
"C16orf79",5.32642192171421,5.47216738935832
"C16orf7",8.69395233553935,8.81521989084851
"C16orf80",10.3436503565548,10.3296941749619
"C16orf81",0.497097311638576,0.359118013423029
"C16orf82",0.043811095071639,0.0254996786698185
"C16orf86",4.9857182616837,4.94399056634981
"C16orf87",8.00752593647595,8.03346158760603
"C16orf88",10.0513531358076,9.95591465317089
"C16orf89",3.53425946654119,3.35751387640724
"C16orf90",0.067601697207429,0.0704839106986917
"C16orf91",9.30928371493645,9.34504413986854
"C16orf92",0.159832590226643,0.0490083026786988
"C16orf93",6.47939510929779,6.25841418288
"C17orf100",6.5721354553177,6.65196644786582
"C17orf101",9.5388172430201,9.53824611740259
"C17orf102",0.132084292786804,0.053671844480539
"C17orf103",8.76776502476605,8.69176986481702
"C17orf104",3.72891433968199,3.71208514125168
"C17orf105",0.0209895850101082,0.0187203164239644
"C17orf106",9.5640150228557,9.51745182696762
"C17orf107",5.44779684295959,5.33292098964214
"C17orf108",7.32348843119613,7.36684607955906
"C17orf28",11.3026146888678,11.0715048387033
"C17orf37",11.0748690306937,10.8925662479277
"C17orf39",8.96112516203167,8.90499020595686
"C17orf42",8.58936160776121,8.57727120326504
"C17orf44",6.26913149263789,6.24231375583123
"C17orf46",2.28919596692723,2.25618434032098
"C17orf47",1.77343694978909,1.65948850838486
"C17orf48",7.63461807224178,7.6389253065862
"C17orf49",10.8428322485973,10.8200772496603
"C17orf50",1.05326517922512,1.07788341698977
"C17orf51",8.32222850363724,8.41851312058964
"C17orf53",8.04966557220991,8.06770431577769
"C17orf54",0.44620447326105,0.295834278018777
"C17orf55",5.24257388132381,5.19904717241941
"C17orf56",9.66765532111489,9.71001412344551
"C17orf57",5.38502180776728,5.30953261941388
